age,height_cm,weight_kg,overall,potential,release_clause_eur,pace,shooting,passing,dribbling,defending,physic,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,is_not_gk,value
28,187,79,57,57,132000.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,57.0,51.0,58.0,44.0,56.0,0.0,80000
29,180,74,66,66,1200000.0,67.0,40.0,60.0,59.0,65.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,475000
20,176,70,59,71,574000.0,76.0,41.0,55.0,60.0,44.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,280000
20,175,70,50,61,98000.0,76.0,44.0,42.0,55.0,27.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50000
31,172,75,69,69,1200000.0,78.0,62.0,64.0,71.0,28.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,925000
24,189,82,68,71,1500000.0,62.0,27.0,45.0,47.0,67.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,950000
29,182,81,72,72,4600000.0,62.0,56.0,69.0,64.0,73.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2400000
19,177,75,52,66,261000.0,62.0,43.0,52.0,54.0,33.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,110000
26,180,75,70,72,2800000.0,71.0,44.0,59.0,58.0,71.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1800000
20,189,80,59,70,468000.0,58.0,27.0,38.0,38.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,240000
21,188,82,59,69,371000.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,53.0,53.0,61.0,43.0,54.0,0.0,190000
26,190,85,61,64,1200000.0,67.0,59.0,44.0,54.0,26.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,325000
31,191,79,70,70,2600000.0,38.0,70.0,54.0,61.0,31.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1600000
30,186,82,71,71,3500000.0,79.0,66.0,50.0,62.0,25.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2300000
25,184,78,63,66,593000.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,62.0,57.0,65.0,55.0,60.0,0.0,325000
25,170,62,75,77,15100000.0,93.0,74.0,62.0,76.0,30.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8500000
20,176,69,59,70,446000.0,58.0,53.0,57.0,62.0,30.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,270000
21,186,69,63,71,736000.0,65.0,36.0,46.0,54.0,65.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,475000
21,170,64,62,66,630000.0,81.0,57.0,54.0,63.0,33.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,400000
26,185,82,73,76,9000000.0,53.0,29.0,43.0,45.0,74.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4200000
34,177,77,69,69,880000.0,62.0,70.0,61.0,69.0,28.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,550000
20,187,80,61,74,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,61.0,59.0,63.0,38.0,59.0,0.0,400000
23,189,88,69,73,2200000.0,68.0,70.0,59.0,65.0,25.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1400000
25,178,69,71,75,1200000.0,74.0,60.0,66.0,70.0,58.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3000000
28,176,72,60,60,263000.0,62.0,62.0,50.0,61.0,37.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,210000
28,174,71,75,75,9400000.0,66.0,57.0,69.0,69.0,74.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5500000
25,184,83,71,76,5800000.0,65.0,26.0,58.0,63.0,71.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2800000
25,177,69,54,59,104000.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,50.0,53.0,57.0,40.0,55.0,0.0,60000
35,180,73,62,62,163000.0,61.0,58.0,61.0,57.0,49.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,130000
21,174,81,81,89,51300000.0,81.0,77.0,68.0,82.0,40.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27000000
20,171,67,72,81,1200000.0,88.0,64.0,63.0,77.0,24.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4800000
27,192,79,65,67,877000.0,61.0,33.0,53.0,58.0,64.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,575000
19,171,75,71,83,8600000.0,82.0,68.0,62.0,75.0,34.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4100000
23,178,70,63,71,855000.0,73.0,27.0,50.0,59.0,60.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,475000
22,178,79,65,74,1400000.0,74.0,37.0,55.0,63.0,64.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,700000
18,165,65,62,78,1300000.0,71.0,52.0,57.0,66.0,39.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,625000
26,189,87,62,64,496000.0,52.0,25.0,32.0,38.0,59.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,325000
28,169,66,73,73,6100000.0,84.0,68.0,70.0,76.0,27.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4000000
19,184,79,63,79,1500000.0,68.0,30.0,38.0,45.0,62.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,750000
25,185,75,69,73,1800000.0,82.0,30.0,60.0,60.0,65.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1200000
22,174,70,55,63,228000.0,65.0,56.0,45.0,59.0,24.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,130000
25,172,68,60,62,331000.0,71.0,43.0,54.0,58.0,57.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,210000
18,182,70,61,75,1300000.0,64.0,57.0,40.0,66.0,29.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,525000
32,171,60,66,66,725000.0,65.0,58.0,63.0,67.0,45.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,500000
26,185,80,58,61,186000.0,65.0,48.0,45.0,56.0,56.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,140000
38,189,81,66,66,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,66.0,68.0,66.0,51.0,66.0,0.0,40000
20,168,75,55,70,451000.0,63.0,43.0,53.0,58.0,47.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,190000
24,171,69,60,66,476000.0,65.0,53.0,58.0,60.0,50.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,280000
29,172,65,67,67,1000000.0,75.0,59.0,62.0,71.0,42.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,750000
30,179,72,66,66,938000.0,79.0,61.0,53.0,66.0,28.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,625000
20,192,90,69,77,2800000.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,70.0,68.0,73.0,30.0,59.0,0.0,1200000
26,193,87,66,70,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,64.0,65.0,62.0,29.0,64.0,0.0,600000
25,188,83,65,68,1100000.0,64.0,65.0,40.0,55.0,19.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,700000
18,188,74,49,65,119000.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,49.0,50.0,49.0,28.0,45.0,0.0,50000
26,183,71,70,71,3300000.0,70.0,48.0,64.0,65.0,68.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1700000
34,181,78,69,69,880000.0,61.0,67.0,56.0,63.0,34.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,550000
30,178,70,71,71,2800000.0,78.0,48.0,60.0,69.0,67.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1900000
32,188,88,65,65,438000.0,48.0,27.0,43.0,38.0,62.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,350000
24,186,82,79,82,24000000.0,54.0,34.0,52.0,58.0,79.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13500000
18,170,66,56,78,500000.0,64.0,49.0,56.0,62.0,42.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,200000
24,181,72,66,71,1700000.0,55.0,48.0,64.0,65.0,60.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,850000
20,183,78,76,83,1200000.0,85.0,69.0,67.0,81.0,37.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11000000
25,186,80,72,77,9100000.0,66.0,71.0,59.0,67.0,52.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4200000
31,186,87,71,71,3200000.0,60.0,67.0,73.0,71.0,45.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000000
18,192,79,63,79,1600000.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,61.0,59.0,68.0,34.0,64.0,0.0,625000
33,189,84,80,80,12000000.0,72.0,62.0,67.0,60.0,81.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6000000
20,188,80,59,70,1200000.0,69.0,47.0,59.0,59.0,51.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,260000
19,184,77,63,75,1400000.0,74.0,63.0,47.0,69.0,21.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,650000
30,188,78,64,64,656000.0,60.0,30.0,43.0,47.0,62.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,375000
31,177,75,75,75,9900000.0,71.0,68.0,75.0,73.0,52.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6000000
26,190,83,55,58,107000.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,55.0,60.0,54.0,29.0,57.0,0.0,70000
28,191,86,68,69,1100000.0,51.0,48.0,53.0,51.0,66.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,825000
34,186,77,76,76,6500000.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,75.0,73.0,78.0,47.0,76.0,0.0,3100000
20,177,77,55,62,189000.0,74.0,53.0,38.0,52.0,19.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,130000
28,185,82,64,64,656000.0,76.0,26.0,53.0,56.0,61.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,375000
23,178,74,64,71,1200000.0,70.0,62.0,53.0,69.0,29.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,625000
22,188,87,68,77,2100000.0,56.0,41.0,53.0,53.0,67.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1300000
23,175,75,68,76,2600000.0,85.0,58.0,63.0,69.0,26.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1300000
20,178,70,60,65,371000.0,76.0,54.0,56.0,62.0,49.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,280000
32,184,81,72,72,2300000.0,73.0,36.0,44.0,49.0,73.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1800000
26,185,76,75,78,14200000.0,69.0,66.0,69.0,68.0,76.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8000000
26,176,68,72,74,6800000.0,82.0,58.0,65.0,75.0,67.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3300000
23,181,81,83,88,58700000.0,70.0,77.0,79.0,78.0,76.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34000000
28,175,76,70,70,2200000.0,84.0,55.0,63.0,69.0,65.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1400000
29,186,85,62,62,324000.0,51.0,24.0,32.0,34.0,60.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,240000
28,190,85,71,71,3500000.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,67.0,56.0,75.0,28.0,69.0,0.0,1700000
26,182,74,71,74,4100000.0,66.0,38.0,47.0,51.0,70.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2600000
25,196,90,68,73,1800000.0,56.0,67.0,48.0,58.0,32.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1200000
27,191,73,71,72,3700000.0,60.0,48.0,58.0,59.0,70.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2400000
22,186,78,67,74,2300000.0,61.0,35.0,46.0,43.0,67.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,975000
24,173,73,65,71,1400000.0,75.0,62.0,61.0,68.0,36.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,750000
23,175,71,69,77,2600000.0,82.0,61.0,64.0,71.0,39.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1500000
24,182,75,60,65,371000.0,79.0,57.0,35.0,51.0,27.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,280000
33,171,72,79,79,16000000.0,74.0,79.0,63.0,78.0,34.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8000000
21,183,75,61,71,544000.0,59.0,45.0,58.0,60.0,57.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,375000
26,186,80,66,68,1400000.0,68.0,30.0,39.0,40.0,65.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,650000
25,170,68,58,61,292000.0,67.0,41.0,53.0,56.0,59.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,160000
27,170,69,67,67,1000000.0,77.0,60.0,64.0,69.0,31.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,825000
25,180,76,78,79,18400000.0,81.0,72.0,74.0,83.0,48.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12500000
24,178,72,68,74,2400000.0,73.0,63.0,67.0,70.0,50.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1200000
19,173,70,62,81,1300000.0,78.0,43.0,57.0,62.0,57.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,600000
33,180,72,63,63,298000.0,25.0,20.0,42.0,39.0,66.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,170000
32,178,80,72,72,3900000.0,58.0,64.0,72.0,67.0,65.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2400000
24,180,72,60,64,438000.0,77.0,48.0,55.0,62.0,54.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,240000
20,189,77,69,79,2800000.0,70.0,66.0,52.0,66.0,25.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1700000
26,177,73,66,68,996000.0,73.0,60.0,67.0,68.0,62.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,675000
29,193,87,72,72,3600000.0,69.0,60.0,63.0,56.0,68.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2400000
21,178,75,49,59,88000.0,61.0,34.0,50.0,46.0,45.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50000
32,175,72,63,63,270000.0,74.0,53.0,67.0,63.0,53.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,200000
27,194,78,69,69,2100000.0,79.0,64.0,61.0,72.0,33.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1100000
22,182,71,75,82,15200000.0,84.0,36.0,62.0,69.0,73.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8000000
22,189,76,52,64,123000.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,52.0,52.0,51.0,24.0,50.0,0.0,70000
22,182,74,61,73,878000.0,80.0,56.0,47.0,66.0,23.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,450000
24,178,75,66,71,1100000.0,78.0,36.0,57.0,68.0,60.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,725000
19,168,71,70,84,9200000.0,71.0,64.0,64.0,73.0,21.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3800000
22,183,76,79,86,33300000.0,72.0,72.0,72.0,77.0,78.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17500000
30,188,83,65,65,563000.0,51.0,56.0,56.0,59.0,62.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,450000
27,186,79,73,74,9500000.0,67.0,68.0,70.0,76.0,29.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4600000
29,185,80,76,77,13100000.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,77.0,68.0,78.0,52.0,75.0,0.0,6000000
22,169,67,64,74,1200000.0,72.0,49.0,62.0,68.0,31.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,725000
24,183,82,73,78,9400000.0,67.0,56.0,65.0,69.0,72.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4500000
26,178,71,58,61,211000.0,69.0,37.0,48.0,52.0,54.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,130000
20,180,76,56,67,245000.0,63.0,41.0,56.0,56.0,53.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,140000
25,185,70,76,79,16800000.0,71.0,54.0,71.0,74.0,75.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8500000
18,180,75,58,72,519000.0,63.0,29.0,32.0,37.0,59.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,250000
28,190,88,69,69,1200000.0,69.0,36.0,53.0,60.0,65.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,925000
19,193,80,62,76,1300000.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,61.0,62.0,61.0,42.0,59.0,0.0,525000
30,193,76,71,71,1200000.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,70.0,68.0,68.0,30.0,70.0,0.0,1500000
24,184,72,61,67,578000.0,62.0,53.0,60.0,56.0,55.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,350000
29,182,74,70,71,3000000.0,61.0,43.0,57.0,58.0,69.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1700000
31,188,75,63,63,538000.0,53.0,26.0,33.0,41.0,61.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,250000
23,180,73,67,73,1500000.0,80.0,60.0,61.0,69.0,52.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1000000
19,175,70,58,70,396000.0,58.0,43.0,62.0,61.0,45.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,220000
18,173,69,61,73,616000.0,75.0,54.0,54.0,64.0,32.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,425000
32,178,78,74,74,4500000.0,66.0,47.0,64.0,65.0,72.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3200000
21,191,94,76,84,19600000.0,74.0,73.0,66.0,73.0,35.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11500000
33,191,88,72,72,3300000.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,72.0,67.0,70.0,41.0,75.0,0.0,1600000
20,180,77,51,68,166000.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,57.0,51.0,47.0,22.0,47.0,0.0,70000
26,191,87,64,65,686000.0,53.0,37.0,46.0,48.0,63.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,450000
39,184,76,67,67,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,73.0,57.0,64.0,41.0,67.0,0.0,50000
27,175,64,71,71,3700000.0,78.0,54.0,70.0,67.0,68.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000000
24,178,64,81,86,38500000.0,84.0,59.0,72.0,77.0,77.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20000000
21,175,72,60,70,634000.0,71.0,50.0,61.0,67.0,46.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,325000
26,185,79,72,73,5300000.0,68.0,39.0,53.0,60.0,75.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3000000
27,178,74,70,70,3500000.0,77.0,69.0,63.0,72.0,43.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1900000
23,178,71,69,77,2600000.0,58.0,50.0,72.0,71.0,58.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1500000
27,181,74,62,62,618000.0,50.0,65.0,50.0,63.0,26.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,325000
22,177,71,62,70,945000.0,70.0,46.0,61.0,67.0,53.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,450000
21,180,70,52,63,116000.0,67.0,38.0,35.0,51.0,49.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,80000
29,175,82,69,69,1400000.0,70.0,54.0,62.0,65.0,64.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,800000
20,170,69,51,63,109000.0,70.0,50.0,39.0,49.0,20.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,70000
22,178,72,75,80,16300000.0,74.0,34.0,62.0,69.0,72.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7500000
25,189,83,70,72,3100000.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,62.0,58.0,75.0,40.0,64.0,0.0,1500000
24,172,70,70,75,3500000.0,79.0,53.0,69.0,70.0,63.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2100000
18,181,72,72,87,14800000.0,91.0,65.0,61.0,76.0,55.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6500000
19,176,72,61,73,1200000.0,61.0,50.0,61.0,62.0,52.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,425000
29,172,74,68,68,945000.0,71.0,50.0,63.0,60.0,65.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,700000
27,170,72,69,70,1700000.0,73.0,46.0,62.0,66.0,61.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1000000
19,180,75,63,73,1100000.0,61.0,34.0,41.0,49.0,63.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,500000
23,184,85,69,75,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,66.0,42.0,72.0,15.0,71.0,0.0,1100000
28,180,72,65,65,618000.0,67.0,49.0,60.0,64.0,60.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,475000
19,185,75,54,65,215000.0,73.0,51.0,37.0,53.0,23.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,110000
31,177,68,62,62,250000.0,63.0,28.0,42.0,38.0,59.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,200000
20,182,70,60,73,1000000.0,56.0,62.0,44.0,58.0,21.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,400000
19,191,80,60,77,1200000.0,67.0,40.0,37.0,40.0,60.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
27,177,76,76,76,1200000.0,87.0,74.0,72.0,77.0,40.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8000000
21,170,65,74,86,22000000.0,88.0,74.0,67.0,76.0,27.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10000000
25,178,67,69,73,2500000.0,74.0,66.0,61.0,66.0,29.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1400000
26,185,81,65,68,795000.0,73.0,60.0,57.0,61.0,63.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,600000
20,189,74,65,75,1100000.0,58.0,43.0,59.0,57.0,59.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,775000
27,187,87,66,69,1100000.0,58.0,28.0,53.0,56.0,65.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,700000
26,185,70,59,63,293000.0,66.0,43.0,43.0,46.0,55.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,180000
